OPSIN_lookup_name	OPSIN_inchis	OPSIN_comments
(z)-3-hexenyl tiglate	InChI=1/C11H18O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5-7H,4,8-9H2,1-3H3/b7-6-,10-5+	
borneol	InChI=1/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3	
spathulenol		spathulenol is unparsable due to the following being uninterpretable: spathulenol The following was not parseable: spathulenol
alpha-terpinene		Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpineol		alpha-terpineol is unparsable due to the following being uninterpretable: alpha-terpineol The following was not parseable: eol
carvacrol	InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3	
2-decanone	InChI=1/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3	
viridiflorol		viridiflorol is unparsable due to the following being uninterpretable: viridiflorol The following was not parseable: viridiflorol
humulene epoxide iii		humulene epoxide iii is unparsable due to the following being uninterpretable: humulene epoxide iii The following was not parseable: humulene epoxide iii
allo-aromadendrene		allo-aromadendrene is unparsable due to the following being uninterpretable: allo-aromadendrene The following was not parseable: aromadendrene
(e)-geranyl acetone	InChI=1/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9+	
sandaracopimara-8(14),15-diene		'standardization-8(14),15-diene'' is unparsable due to the following being uninterpretable: ''sandaracopimara-8(14),15-diene'' The following was not parseable: ''sandaracopimara-8(14),15-diene''
myrtenol		myrtenol is unparsable due to the following being uninterpretable: myrtenol The following was not parseable: myrtenol
beta-damascenone		beta-damascenone is unparsable due to the following being uninterpretable: beta-damascenone The following was not parseable: amascenone
chrysanthenone		chrysanthenone is unparsable due to the following being uninterpretable: chrysanthenone The following was not parseable: anthenone
p-cymen-8-ol		Could not find the atom with locant 8.
geranyl heptanoate	InChI=1/C17H30O2/c1-5-6-7-8-12-17(18)19-14-13-16(4)11-9-10-15(2)3/h10,13H,5-9,11-12,14H2,1-4H3/b16-13+	
delta-cadinol		delta-cadinol is unparsable due to the following being uninterpretable: delta-cadinol The following was not parseable: cadinol
santolinatriene		santolinatriene is unparsable due to the following being uninterpretable: santolinatriene The following was not parseable: santolinatriene
decanal	InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3	
epi-alpha-cadinol		Epi-alpha-cadinol is unparsable due to the following being uninterpretable: epi-alpha-cadinol The following was not parseable: pi-alpha-cadinol
(z)-ligustilide		(z)-ligustilide is unparsable due to the following being uninterpretable: (z)-ligustilide The following was not parseable: igustilide
gamma-terpinene		Disagreement between number of locants(gamma) and ring assembly multiplier: 3
trans-pinene hydrate		Could not find bond that: <stereoChemistry type="cisOrTrans" value="trans" subsequentUnsemanticToken="-">trans</stereoChemistry> could refer unambiguously to
(e,e)-farnesol		'(e,e)-farnesol'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesol'' The following was not parseable: ''(e,e)-farnesol''
linalyl isobutyrate	InChI=1/C14H24O2/c1-7-14(6,10-8-9-11(2)3)16-13(15)12(4)5/h7,9,12H,1,8,10H2,2-6H3	
myristicin		myristicin is unparsable due to the following being uninterpretable: in The following was not parseable: in
camphene	InChI=1/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3	
terpinen-4-ol	InChI=1/C30H44O/c1-15-20-10-18(27(20,4)5)11-22(15)30(14-19-12-23(17(30)3)28(19,6)7)25-16(2)21-13-24(26(25)31)29(21,8)9/h18-19,22,24-26,31H,10-14H2,1-9H3	
yomogi alcohol		yomogi alcohol is unparsable due to the following being uninterpretable: yomogi alcohol The following was not parseable: yomogi alcohol
alpha-pinene		Unable to assign all locants. This locant was not assigned: alpha
viridiflorene		viridiflorene is unparsable due to the following being uninterpretable: viridiflorene The following was not parseable: viridiflorene
1,8-cineole + limonene		'1,8-cineole + limonene'' is unparsable due to the following being uninterpretable: ''1,8-cineole + limonene'' The following was not parseable: ''1,8-cineole + limonene''
isoledene		isoledene is unparsable due to the following being uninterpretable: isoledene The following was not parseable: ledene
pulegone		pulegone is unparsable due to the following being uninterpretable: pulegone The following was not parseable: pulegone
beta-cubebene		beta-cubebene is unparsable due to the following being uninterpretable: beta-cubebene The following was not parseable: ebene
beta-caryophyllene		beta-caryophyllene is unparsable due to the following being uninterpretable: beta-caryophyllene The following was not parseable: yophyllene
limonene		limonene is unparsable due to the following being uninterpretable: limonene The following was not parseable: imonene
caryophyllene oxide		caryophyllene oxide is unparsable due to the following being uninterpretable: caryophyllene oxide The following was not parseable: yophyllene oxide
2-pentylfuran	InChI=1/C9H14O/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3	
beta-pinene		Unable to assign all locants. This locant was not assigned: beta
cis-sabinene hydrate		cis-sabinene hydrate is unparsable due to the following being uninterpretable: cis-sabinene hydrate The following was not parseable: sabinene hydrate
beta-copaene		beta-copaene is unparsable due to the following being uninterpretable: beta-copaene The following was not parseable: copaene
phytol	InChI=1/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1	
p-cymene	InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3	
1,4-cadinadienea		'1,4-cadinadienea'' is unparsable due to the following being uninterpretable: ''1,4-cadinadienea'' The following was not parseable: ''1,4-cadinadienea''
(z)-beta-ocimene	InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-	
dodecanol	InChI=1/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3	
bergamotol acetate		bergamotol acetate is unparsable due to the following being uninterpretable: bergamotol acetate The following was not parseable: bergamotol acetate
beta-bourbonene		beta-bourbonene is unparsable due to the following being uninterpretable: beta-bourbonene The following was not parseable: bourbonene
bornyl acetate	InChI=1/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3	
(z)-anethole	InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-	
hexadecanoic0acid		hexadecanoic0acid is unparsable due to the following being uninterpretable: 0acid The following was not parseable: 0acid
germacrene d		germacrene d is unparsable due to the following being uninterpretable: germacrene d The following was not parseable: crene d
geranial	InChI=1/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+	
citronellyl acetate	InChI=1/C12H22O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,11H,5,7-9H2,1-4H3	
methyl eugenol	InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4,6-7,12H,1,5H2,2-3H3	
1-h-indole		1-h-indole is unparsable due to the following being uninterpretable: 1-h-indole The following was not parseable: h-indole
alpha-cadinene		alpha-cadinene is unparsable due to the following being uninterpretable: alpha-cadinene The following was not parseable: cadinene
elemol		elemol is unparsable due to the following being uninterpretable: elemol The following was not parseable: lemol
alpha-campholenal		alpha-campholenal is unparsable due to the following being uninterpretable: alpha-campholenal The following was not parseable: nal
isomenthone		isomenthone is unparsable due to the following being uninterpretable: isomenthone The following was not parseable: menthone
thymol	InChI=1/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3	
gamma-cadinene		gamma-cadinene is unparsable due to the following being uninterpretable: gamma-cadinene The following was not parseable: cadinene
cyclosativene		cyclosativene is unparsable due to the following being uninterpretable: cyclosativene The following was not parseable: sativene
ledol		ledol is unparsable due to the following being uninterpretable: ledol The following was not parseable: edol
methyl benzoate	InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3	
(e)-beta-ocimene	InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+	
1,8-cineole		'1,8-cineole'' is unparsable due to the following being uninterpretable: ''1,8-cineole'' The following was not parseable: ''1,8-cineole''
palustrol		palustrol is unparsable due to the following being uninterpretable: palustrol The following was not parseable: palustrol
germacrene d 4-ol		germacrene d 4-ol is unparsable due to the following being uninterpretable: germacrene d 4-ol The following was not parseable: crene d 4-ol
trans-beta-ocimene		Could not find bond that: <stereoChemistry type="cisOrTrans" value="trans" subsequentUnsemanticToken="-">trans</stereoChemistry> could refer unambiguously to
m-cresol	InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3	
delta-cadinene		delta-cadinene is unparsable due to the following being uninterpretable: delta-cadinene The following was not parseable: cadinene
beta-bisabolene		beta-bisabolene is unparsable due to the following being uninterpretable: beta-bisabolene The following was not parseable: abolene
nerol oxide	InChI=1/C10H18O2/c1-8(2)5-4-6-10(3)9(7-11)12-10/h5,9,11H,4,6-7H2,1-3H3	
(e)-caryophyllene		(e)-caryophyllene is unparsable due to the following being uninterpretable: (e)-caryophyllene The following was not parseable: yophyllene
camphor	InChI=1/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3	
geraniol	InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+	
linalool	InChI=1/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3	
alpha-phellandrene		alpha-phellandrene is unparsable due to the following being uninterpretable: alpha-phellandrene The following was not parseable: phellandrene
trans-verbenol		trans-verbenol is unparsable due to the following being uninterpretable: trans-verbenol The following was not parseable: verbenol
myrtenal		myrtenal is unparsable due to the following being uninterpretable: myrtenal The following was not parseable: myrtenal
neo-iso(iso)pulegol		neo-iso(iso)pulegol is unparsable due to the following being uninterpretable: neo-iso(iso)pulegol The following was not parseable: iso(iso)pulegol
globulol		globulol is unparsable due to the following being uninterpretable: globulol The following was not parseable: globulol
octanol	InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	thujopsene is unparsable due to the following being uninterpretable: thujopsene The following was not parseable: psene
thujopsene		
(z)-gamma-bisabolene		(z)-gamma-bisabolene is unparsable due to the following being uninterpretable: (z)-gamma-bisabolene The following was not parseable: abolene
terpinolene		terpinolene is unparsable due to the following being uninterpretable: terpinolene The following was not parseable: olene
neo-phytadiene		neo-phytadiene is unparsable due to the following being uninterpretable: neo-phytadiene The following was not parseable: phytadiene
tricosane	InChI=1/C23H48/c1-3-5-7-9-11-13-15-17-19-21-23-22-20-18-16-14-12-10-8-6-4-2/h3-23H2,1-2H3	
1, 10-epi-cubenol		'1, 10-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1, 10-epi-cubenol'' The following was not parseable: ''1, 10-epi-cubenol''
pentadecanoic acid	InChI=1/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)/f/h16H	
ergost-5-en-3beta-ol	InChI=1/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3/t19-,20+,22-,23-,24+,25-,26-,27-,28+/m0/s1	
pinocamphone		pinocamphone is unparsable due to the following being uninterpretable: pinocamphone The following was not parseable: camphone
alpha-humulene		alpha-humulene is unparsable due to the following being uninterpretable: alpha-humulene The following was not parseable: humulene
(e)-beta-farnesene	InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12+	
citronellal	InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3	
heptadecane	InChI=1/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3	
beta-acoradiene		beta-acoradiene is unparsable due to the following being uninterpretable: beta-acoradiene The following was not parseable: acoradiene
(e)-2-decanal		Could not find bond that: <stereoChemistry type="EorZ" value="E">e</stereoChemistry> was referring to
(e)-nerolidol	InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+	
nonane	InChI=1/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3	
maaliene		maaliene is unparsable due to the following being uninterpretable: maaliene The following was not parseable: maaliene
myrcene		myrcene is unparsable due to the following being uninterpretable: myrcene The following was not parseable: myrcene
thymol acetate	InChI=1/C12H16O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h5-8H,1-4H3	
gamma-eudesmol		gamma-eudesmol is unparsable due to the following being uninterpretable: gamma-eudesmol The following was not parseable: udesmol
geranyl formate	InChI=1/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7+	
caryophylla-2(12),6-dien-5-beta-ol		'caryophylla-2(12),6-dien-5-beta-ol'' is unparsable due to the following being uninterpretable: ''caryophylla-2(12),6-dien-5-beta-ol'' The following was not parseable: ''caryophylla-2(12),6-dien-5-beta-ol''
22-beta-hydroxyoleanonic acid		22-beta-hydroxyoleanonic acid is unparsable due to the following being uninterpretable: oleanonic acid The following was not parseable: anonic acid
bicyclogermacrene		bicyclogermacrene is unparsable due to the following being uninterpretable: bicyclogermacrene The following was not parseable: acrene
caranyl acetate ii		caranyl acetate ii is unparsable due to the following being uninterpretable: ii The following was not parseable: ii
widdrol		widdrol is unparsable due to the following being uninterpretable: widdrol The following was not parseable: widdrol
beta-gurjunene		beta-gurjunene is unparsable due to the following being uninterpretable: beta-gurjunene The following was not parseable: gurjunene
ledene		ledene is unparsable due to the following being uninterpretable: ledene The following was not parseable: edene
sabinene		sabinene is unparsable due to the following being uninterpretable: sabinene The following was not parseable: sabinene
alpha-cadinol		alpha-cadinol is unparsable due to the following being uninterpretable: alpha-cadinol The following was not parseable: cadinol
trans-p-mentha-1(7),8-dien-2-ol		'trans-p-mentha-1(7),8-dien-2-ol'' is unparsable due to the following being uninterpretable: ''trans-p-mentha-1(7),8-dien-2-ol'' The following was not parseable: ''trans-p-mentha-1(7),8-dien-2-ol''
geranyl butyrate	InChI=1/C14H24O2/c1-5-7-14(15)16-11-10-13(4)9-6-8-12(2)3/h8,10H,5-7,9,11H2,1-4H3/b13-10+	
guaiol		guaiol is unparsable due to the following being uninterpretable: guaiol The following was not parseable: guaiol
alpha-thujene		Unable to assign all locants. This locant was not assigned: alpha
tau-cadinol		tau-cadinol is unparsable due to the following being uninterpretable: tau-cadinol The following was not parseable: tau-cadinol
ethanol	InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3	
gamma-gurjunene		gamma-gurjunene is unparsable due to the following being uninterpretable: gamma-gurjunene The following was not parseable: gurjunene
alpha-terpinyl acetate		Disagreement between number of locants(alpha) and ring assembly multiplier: 3
delta-selinene		delta-selinene is unparsable due to the following being uninterpretable: delta-selinene The following was not parseable: inene
gamma-sudesmol		gamma-sudesmol is unparsable due to the following being uninterpretable: gamma-sudesmol The following was not parseable: sudesmol
caryophyllene		caryophyllene is unparsable due to the following being uninterpretable: caryophyllene The following was not parseable: yophyllene
trans-sabinene hydrate		trans-sabinene hydrate is unparsable due to the following being uninterpretable: trans-sabinene hydrate The following was not parseable: sabinene hydrate
citralc		citralc is unparsable due to the following being uninterpretable: c The following was not parseable: c
aliphatic hydrocarbons		aliphatic hydrocarbons is unparsable due to the following being uninterpretable: aliphatic hydrocarbons The following was not parseable: aliphatic hydrocarbons
alpha-bisabolol		alpha-bisabolol is unparsable due to the following being uninterpretable: alpha-bisabolol The following was not parseable: abolol
cuminal	InChI=1/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3	
dihydroencecaline		dihydroencecaline is unparsable due to the following being uninterpretable: encecaline The following was not parseable: encecaline
benzaldehyde	InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	
epi-cubebol		epi-cubebol is unparsable due to the following being uninterpretable: epi-cubebol The following was not parseable: pi-cubebol
cis-linalooloxide		Could not find bond that: <stereoChemistry type="cisOrTrans" value="cis" subsequentUnsemanticToken="-">cis</stereoChemistry> could refer unambiguously to
cis-p-menth-2-en-1-ol		Could not find bond that: <stereoChemistry type="cisOrTrans" value="cis" subsequentUnsemanticToken="-">cis</stereoChemistry> could refer unambiguously to
acetic acid	InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H	
2(e)-hexenal		2(e)-hexenal is unparsable due to the following being uninterpretable: 2(e)-hexenal The following was not parseable: al
(e)-beta-terpineol		(e)-beta-terpineol is unparsable due to the following being uninterpretable: (e)-beta-terpineol The following was not parseable: eol
dillapiole		dillapiole is unparsable due to the following being uninterpretable: dillapiole The following was not parseable: llapiole
beta-phellandrene		beta-phellandrene is unparsable due to the following being uninterpretable: beta-phellandrene The following was not parseable: phellandrene
alpha-selinene		alpha-selinene is unparsable due to the following being uninterpretable: alpha-selinene The following was not parseable: inene
dodecanoic acid	InChI=1/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/f/h13H	
(e,e)-2,4-decadienal		'(e,e)-2,4-decadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-decadienal'' The following was not parseable: ''(e,e)-2,4-decadienal''
nerol+citronellol+carvone		nerol+citronellol+carvone is unparsable due to the following being uninterpretable: +citronellol+carvone The following was not parseable: +citronellol+carvone
artemisia alcohol		artemisia alcohol is unparsable due to the following being uninterpretable: artemisia alcohol The following was not parseable: artemisia alcohol
(e,e)-2,4-hexadienal		'(e,e)-2,4-hexadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-hexadienal'' The following was not parseable: ''(e,e)-2,4-hexadienal''
alpha-isocomene		alpha-isocomene is unparsable due to the following being uninterpretable: alpha-isocomene The following was not parseable: comene
1-octen-3-ol	InChI=1/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3	
norosolanadione		norosolanadione is unparsable due to the following being uninterpretable: norosolanadione The following was not parseable: norosolanadione
(e)-2-nonenal	InChI=1/C9H16O/c1-2-3-4-5-6-7-8-9-10/h7-9H,2-6H2,1H3/b8-7+	
p-menth-1-ene-9-carboxaldehyde	InChI=1/C11H18O/c1-9-3-5-11(6-4-9)10(2)7-8-12/h3,8,10-11H,4-7H2,1-2H3	
3-octyl acetate	InChI=1/C10H20O2/c1-4-6-7-8-10(5-2)12-9(3)11/h10H,4-8H2,1-3H3	
epi-alpha-muurolol		epi-alpha-muurolol is unparsable due to the following being uninterpretable: epi-alpha-muurolol The following was not parseable: pi-alpha-muurolol
ethylbenzoate	InChI=1/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3	
alpha-trans-bergamotol		alpha-trans-bergamotol is unparsable due to the following being uninterpretable: alpha-trans-bergamotol The following was not parseable: bergamotol
alpha-muurolol		alpha-muurolol is unparsable due to the following being uninterpretable: alpha-muurolol The following was not parseable: muurolol
abietatriene		abietatriene is unparsable due to the following being uninterpretable: abietatriene The following was not parseable: abietatriene
1-epi-cubenol		1-epi-cubenol is unparsable due to the following being uninterpretable: 1-epi-cubenol The following was not parseable: pi-cubenol
(e)-sesquilavandulol		(e)-sesquilavandulol is unparsable due to the following being uninterpretable: (e)-sesquilavandulol The following was not parseable: sesquilavandulol
geijerene		geijerene is unparsable due to the following being uninterpretable: geijerene The following was not parseable: geijerene
gamma-elemene		gamma-elemene is unparsable due to the following being uninterpretable: gamma-elemene The following was not parseable: lemene
longipinanol		longipinanol is unparsable due to the following being uninterpretable: longipinanol The following was not parseable: ongipinanol
caryophyllenol-ii		caryophyllenol-ii is unparsable due to the following being uninterpretable: caryophyllenol-ii The following was not parseable: yophyllenol-ii
