coid,coname,chname,smilescode,casno,cagroup,cgid,coformula
1,(+)-alpha-pinene,"(1r,5r)-4,6,6-trimethylbicyclo[3.1.1]hept-3-ene",\N,7785-70-8,#145#,24,C10H16
2,(+)-alpha-terpineol,2-[(1r)-4-methylcyclohex-3-en-1-yl]propan-2-ol,\N,NA,#145#,5,C10H18O
3,(+)-alpha-thujene,(5s)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-3-ene,\N,NA,#145#,24,C10H16
4,(+)-aromadendrene,"(1ar,4ar,7r,7ar,7bs)-1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1ah-cyclopropa[e]azulene",\N,NA,#145#,1,C15H24
5,(+)-beta-fenebrene,NA,\N,NA,#145#,1,NA
6,(+)-beta-pinene,"(1r,5r)-6,6-dimethyl-4-methylidenebicyclo[3.1.1]heptane",\N,19902-08-0,#145#,24,C10H16
7,(+)-isoiridemyrmecin,NA,\N,NA,#145#,1,NA
8,(+)-ledene,NA,\N,NA,#145#,1,NA
9,(+)-limonene,(4r)-1-methyl-4-prop-1-en-2-ylcyclohexene,\N,5989-27-5,#145#,24,C10H16
10,(+)-linalool,"(3s)-3,7-dimethylocta-1,6-dien-3-ol",\N,NA,#145#,25,C10H18O
11,(+)sabinene,NA,\N,NA,#145#,1,NA
12,(+)terpinen-4-ol,NA,\N,NA,#145#,5,NA
13,(-) -beta-caryophyllene,NA,\N,NA,#145#,1,NA
14,(-) -spathulenol,NA,\N,NA,#145#,1,NA
15,(-) caryophyllene oxide,NA,\N,NA,#145#,1,NA
16,(-) â€“ spathulenol,NA,\N,NA,#145#,1,NA
17,(-)-alloaromadendrene,"(1ar,4as,7r,7ar,7bs)-1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1ah-cyclopropa[e]azulene",\N,NA,#145#,1,C15H24
18,(-)-alpha-bisabolol,(2s)-6-methyl-2-[(1s)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol,\N,23089-26-1,#145#,35,C15H26O
19,(-)-alpha-bisabolol oxide a,NA,\N,NA,#145#,1,NA
20,(-)-alpha-bisabolol oxide b,NA,\N,NA,#145#,1,NA
21,(-)-alpha-pinene,"(1s,5s)-4,6,6-trimethylbicyclo[3.1.1]hept-3-ene",\N,7785-26-4,#145#,24,C10H16
22,(-)-alpha-terpineol,2-[(1s)-4-methylcyclohex-3-en-1-yl]propan-2-ol,\N,NA,#145#,5,C10H18O
23,(-)-alpha-thujene,(5r)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-3-ene,\N,NA,#145#,24,C10H16
24,(-)-beta-caryophyllene,"(1r,4e,9s)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",\N,NA,#145#,1,C15H24
25,(-)-beta-ocimene,NA,\N,NA,#145#,1,NA
26,(-)-beta-pinene,"(1s,5s)-6,6-dimethyl-4-methylidenebicyclo[3.1.1]heptane",\N,18172-67-3,#145#,24,C10H16
27,(-)-bornyl acetate,"[(1s,3r,4s)-4,7,7-trimethyl-3-bicyclo[2.2.1]heptanyl] acetate",\N,NA,#145#,1,C12H20O2
28,(-)-caryophyllene oxide,NA,\N,NA,#145#,1,NA
29,"(-)-elema-1,3,11(13)-trien-12-al",NA,\N,NA,#145#,6,NA
30,(-)-italicene ether,NA,\N,NA,#145#,1,NA
31,(-)-kaur-16-en-19-al,NA,\N,NA,#145#,6,NA
32,(-)-limonene,(4s)-1-methyl-4-prop-1-en-2-ylcyclohexene,\N,5989-54-8,#145#,24,C10H16
33,(-)-linalool,"(3r)-3,7-dimethylocta-1,6-dien-3-ol",\N,NA,#145#,25,C10H18O
34,"(-)-pacifigorgia-1(6),10-diene",NA,\N,NA,#145#,1,NA
35,(-)-pacifigorgiol,NA,\N,NA,#145#,5,NA
36,(-)-spathulenol,"1,1,7-trimethyl-4-methylidene-1a,2,3,4a,5,6,7a,7b-octahydrocyclopropa[h]azulen-7-ol",\N,NA,#145#,5,C15H24O
37,"(-)-valerena-4,7(11)-diene",NA,\N,NA,#145#,1,NA
38,(-)sabinene,NA,\N,NA,#145#,1,NA
39,"(11,13)labdadien-8-ol",NA,\N,NA,#145#,5,NA
40,"(1r,3s)-cembra-4,7,11,15-tetraen-3-ol",NA,\N,NA,#145#,5,NA
41,(1s)(-)-camphor,NA,\N,NA,#145#,1,NA
42,(2)-3-hexenylacetate,NA,\N,NA,#145#,1,NA
43,(2)-3-hexenylbenzoate,NA,\N,NA,#145#,1,NA
44,(2)-4-octenyloctanoate,NA,\N,NA,#145#,1,NA
45,"(2,4)-nonadienal",NA,\N,NA,#145#,6,NA
46,(22)-(6e)-farnesol,NA,\N,NA,#145#,5,NA
47,(2e)-decen-1-ol,NA,\N,NA,#145#,1,NA
48,(2e)-octen-1-ol,NA,\N,NA,#145#,1,NA
49,(2e)-undecenol,NA,\N,NA,#145#,1,NA
50,"(2e,6e)-farnesal",NA,\N,502-67-0,#145#,1,NA
