	key	species	location	year	biblio	title	authors	jrnl	family	plantweed
	JEFvusp2000See	Foeniculum vulgare	Spain	1997	VOL. 12,159-162 (Mar/Apr 2000)	Chemical Composition of Fennel Oil,Foeniculum vulgare Miller,from Spain	Noemi Garcia-Jimenez,Maria Jose Perez-Alonso,Arturo Velasco-Negueruela	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFvusp2000Ste	Foeniculum vulgare	Spain	1997	VOL. 12,159-162 (Mar/Apr 2000)	Chemical Composition of Fennel Oil,Foeniculum vulgare Miller,from Spain	Noemi Garcia-Jimenez,Maria Jose Perez-Alonso,Arturo Velasco-Negueruela	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFvumo2000Lea	Foeniculum vulgare	Mongolia	NA	VOL. 12,745-750 (Nov/Dec 2000)	Essential Oil Composition of Some Plants Cultivated in Mongolian Climate	Sanduin Shatar & Shataryn Altantsetseg	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFvutu2007Gro	Foeniculum vulgare	Turkey	NA	VOL. 19,426–429 (Sep/Oct 2007)	Comparison of Microwave-Assisted Hydrodistillation and Hydrodistillation Methods for the Fruit Essential Oils of Foeniculum vulgare	Müberra Koşar,Temel Özek,Mine Kürkçüoglu & K. Hüsnü Can Başer	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFvutu2007Who	Foeniculum vulgare	Turkey	NA	VOL. 19,426–429 (Sep/Oct 2007)	Comparison of Microwave-Assisted Hydrodistillation and Hydrodistillation Methods for the Fruit Essential Oils of Foeniculum vulgare	Müberra Koşar,Temel Özek,Mine Kürkçüoglu & K. Hüsnü Can Başer	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPanar2009Fru	Pimpinella anisum	Argentina	2004	VOL. 21,91-93 (Jan/Feb 2009)	Antimicrobial Activity of Pimpinella anisum and Foeniculum vulgare Essential Oils Against Paenibacillus larvae	Liesel B.Gende,Matias D. Maggi,Rosalia Fritz,Martin J. Eguaras,Pedro N. Bailac,Marta I. Ponzi	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFvuar2009Fru	Foeniculum vulgare	Argentina	2004	VOL. 21,91-93 (Jan/Feb 2009)	Antimicrobial Activity of Pimpinella anisum and Foeniculum vulgare Essential Oils Against Paenibacillus larvae	Liesel B.Gende,Matias D. Maggi,Rosalia Fritz,Martin J. Eguaras,Pedro N. Bailac,Marta I. Ponzi	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFasir2003Ole	Ferula assa-foetida	Iran	1997	VOL. 11(3),136-140 (July 2003)	Composition of the essential oil of Asa-foetida and its spasmolytic action	Hassan Sadraei,Alireza Ghannadi and Karim Malekshahi	Saudi Pharmaceutical Journal	Apiaceae/Umbelliferae	Plant
	JECsaca2011Fru	Coriandrum sativum	Canada	NA	VOL. 23,7-15 (July/Aug 2011)	Chemical Composition and Antioxidant Activities of Tunisian and Canadian Coriander (Coriandrum sativum L.) Fruit	Jazia Sriti,Wissem Aidi Wannes,Thierry Talou,Gerard Vilarem & Brahim Marzouk	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECsatu2011Fru	Coriandrum sativum	Tunisia	NA	VOL. 23,7-15 (July/Aug 2011)	Chemical Composition and Antioxidant Activities of Tunisian and Canadian Coriander (Coriandrum sativum L.) Fruit	Jazia Sriti,Wissem Aidi Wannes,Thierry Talou,Gerard Vilarem & Brahim Marzouk	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPspir1998See	Pycnocycla spinosa	Iran	NA	VOL. 10,197-198 (Mar/Apr 1998)	Volatile Constituents of the Essential Oil of Pycnocycla spinosa Decne. & Boiss. from Iran	L. Ahmadi & M. Mirza	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEchtu1998Aer	Echinophora chysantha	Turkey	NA	VOL. 10,345-351 (May/June 1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEortu1998Aer	Echinophora orientalis	Turkey	NA	VOL. 10,345-351 (May/June 1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEtetu1998Aer	Echinophora tenuifolia	Turkey	NA	VOL. 10,345-351 (May/June 1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEtotu1998Aer	Echinophora tournefortii	Turkey	NA	VOL. 10,345-351 (May/June 1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEtrtu1998Aer	Echinophora trichophylla	Turkey	NA	VOL. 10,345-351 (May/June 1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEEcatu1998Aer	Echinophora carvifolia	Turkey	NA	VOL. 10,345-351 (May/June1998)	Essential Oils of Six Echinophora Species from Turkey	K. H.C. Baser,M. Kürkcüoglu,H. Malyer & A. Bicakci	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBfrcyre1998Lea	Bupleurum fruticosum	Cyrenaica Region	1993	VOL. 10,369-374 (July/Aug 1998)	The Essential Oil from Bupleurum fruticosum L.of the Cyrenaica Region of Eastern Libya and the Problem of Bupleurol	Laura Giamperi,Donata Ricci,Daniele Fraternale,Antonio Manunta & Raffaele Tabacchi	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBfrcyre1998Ste	Bupleurum fruticosum	Cyrenaica Region	1993	VOL. 10,369-374 (July/Aug 1998)	The Essential Oil from Bupleurum fruticosum L.of the Cyrenaica Region of Eastern Libya and the Problem of Bupleurol	Laura Giamperi,Donata Ricci,Daniele Fraternale,Antonio Manunta & Raffaele Tabacchi	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBratu1998Aer	Bifora radians	Turkey	1996	VOL. 10,451-452 (July/Aug 1998)	The Essential Oil of Bifora radians Bieb.	K. H.C. Baser,B. Demirçakmak,N. Ermin,F. Demirci & I. Boydag	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEAcetu1998Aer	Anthriscus cerefolium	Turkey	1996	VOL. 10,463-464 (July/Aug 1998)	The Essential Oil of Anthriscus cerefolium (L.) Hoffm. (Chervil) Growing Wild in Turkey	K. H.C. Baser,N. Ermin & B. Demirçakmak	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JELtous1998Aer	Lomatium torreyi	USA	NA	VOL. 10,473-477 (Sep/Oct 1998)	Composition of the Essential Oil of Lomatium torreyi	Armineh Bedrossian,Philip E. Beauchamp,Vasu Dev	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JELtous1998Fru	Lomatium torreyi	USA	NA	VOL. 10,473-477 (Sep/Oct 1998)	Composition of the Essential Oil of Lomatium torreyi	Armineh Bedrossian,Philip E. Beauchamp,Vasu Dev	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECfesa1998Fru	Cachrys ferulacea	Sardinia	1996	VOL. 10,533-536 (Sep/Oct 1998)	Constituents of Cachrys ferulacea Oils	Alessandra Bertoli,Luisa Pistelli,Ivano Morelli,Guido Spinelli & Antonio Manunta	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECfesa1998Per	Cachrys ferulacea	Sardinia	1998	VOL. 10,533-536 (Sep/Oct 1998)	Constituents of Cachrys ferulacea Oils	Alessandra Bertoli,Luisa Pistelli,Ivano Morelli,Guido Spinelli & Antonio Manunta	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECfesa1998See	Cachrys ferulacea	Sardinia	1997	VOL. 10,533-536 (Sep/Oct 1998)	Constituents of Cachrys ferulacea Oils	Alessandra Bertoli,Luisa Pistelli,Ivano Morelli,Guido Spinelli & Antonio Manunta	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEAgrreis1998Her	Anethum graveolens	Reunion Island	NA	VOL. 10,539-542 (Sep/Oct 1998)	Chemical Composition of Essential Oil of Dill (Anethum graveolens L.) Growing in Reunion Island	R. R. Vera & J. Chane-Ming	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEHartu1998Fru	Heracleum argaeum	Turkey	NA	VOL. 10,561-562 (Sep/Oct 1998)	Composition of the Essential Oil of Heracleum argaeum Boiss. et Bal.	K. H.C. Baser,M. Kürkçüoglu & Z. Aytaç	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECsaar1998Fru	Coriandrum sativum	Argentina	NA	VOL. 10,581-584 (Sep/Oct 1998)	Composition and Quality of the Essential Oil of Coriander (Coriandrum sativum L.) from Argentina	Arnaldo L. Bandoni,Isaac Mizrahi & Miguel A. Juárez	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JECsaru1998Fru	Coriandrum sativum	Russia	NA	VOL. 10,581-584 (Sep/Oct 1998)	Composition and Quality of the Essential Oil of Coriander (Coriandrum sativum L.) from Argentina	Arnaldo L. Bandoni,Isaac Mizrahi & Miguel A. Juárez	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JETamin1998See	Trachyspermum ammi	India	1995	VOL. 10,588-590 (Sep/Oct 1998)	Composition of the Volatile Oil from the Aerial Parts ofTrachyspermum ammi (L.) Sprague from Oran (Algeria)	Sadananda Choudhury,Riyazuddin Ahmed,Purnendu B. Kanjilal & Piet A. Leclercq	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JETgltu1998Fru	Trinia glauca	Turkey	1996	VOL. 10,593-594 (Sep/Oct 1998)	Composition of the Essential Oil of Trinia glauca (L.) Dum.	K. H.C. Baser,M. Kürkçüoglu & M. Vural	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFasir1998Gum	Ferula assa-foetida	Iran	1996	VOL. 10,687-689 (Nov/Dec 1998)	Essential Oil Composition of Ferula assa-foetida L. from Iran	F. Sefidkon,F. Askari & M. Mirza	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPfeho1998Aer	Prangos ferulacea	Homand	1996	VOL. 10,81-82 (Jan/Feb 1998)	Analysis of the Oil of Prangos ferulacea (L.) Lindl.	F. Sefidkon,M. S. Khajavi & B. Malackpour	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPfeho1998See	Prangos ferulacea	Homand	1997	VOL. 10,81-82 (Jan/Feb 1998)	Analysis of the Oil of Prangos ferulacea (L.) Lindl.	F. Sefidkon,M. S. Khajavi & B. Malackpour	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBgisp1998Aer	Bupleurum gibraltarium	Spain	1995	VOL. 10,9-19 (Jan/Feb 1998)	Chemical Composition of the Essential Oils from the Aerial Parts of Bupleurum gibraltarium Lam.	Arturo Velasco-Negueruela,María José Peŕez-Alonso,Jesús Palá-Paúl,Ana Camacho,Ana María Fernández Ocaña,Carlos Fernández López,Joaquín Altarejos & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBgisp1998Fru	Bupleurum gibraltarium	Spain	1997	VOL. 10,9-19 (Jan/Feb 1998)	Chemical Composition of the Essential Oils from the Aerial Parts of Bupleurum gibraltarium Lam.	Arturo Velasco-Negueruela,María José Peŕez-Alonso,Jesús Palá-Paúl,Ana Camacho,Ana María Fernández Ocaña,Carlos Fernández López,Joaquín Altarejos & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBgisp1998Lea	Bupleurum gibraltarium	Spain	1999	VOL. 10,9-19 (Jan/Feb 1998)	Chemical Composition of the Essential Oils from the Aerial Parts of Bupleurum gibraltarium Lam.	Arturo Velasco-Negueruela,María José Peŕez-Alonso,Jesús Palá-Paúl,Ana Camacho,Ana María Fernández Ocaña,Carlos Fernández López,Joaquín Altarejos & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBgisp1998Ste	Bupleurum gibraltarium	Spain	1996	VOL. 10,9-19 (Jan/Feb 1998)	Chemical Composition of the Essential Oils from the Aerial Parts of Bupleurum gibraltarium Lam.	Arturo Velasco-Negueruela,María José Peŕez-Alonso,Jesús Palá-Paúl,Ana Camacho,Ana María Fernández Ocaña,Carlos Fernández López,Joaquín Altarejos & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBgisp1998Umb	Bupleurum gibraltarium	Spain	1998	VOL. 10,9-19 (Jan/Feb 1998)	Chemical Composition of the Essential Oils from the Aerial Parts of Bupleurum gibraltarium Lam.	Arturo Velasco-Negueruela,María José Peŕez-Alonso,Jesús Palá-Paúl,Ana Camacho,Ana María Fernández Ocaña,Carlos Fernández López,Joaquín Altarejos & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPbotu1999Fru	Prangos bornmuelleri	Turkey	1996	VOL. 11,151-152 (Mar/Apr 1999)	Steam Volatiles of the Fruits of Prangos bornmuelleri Hub.-Mor. et Reese	K. H.C. Baser,M. Kürkçüoglu & H. Duman	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEMatit1999Epi	Meum athamanticum	Italy	1997	VOL. 11,251-252 (Mar/Apr 1999)	Essential Oil Components in the Epigeous and Hypogeous Parts of Meum athamanticum Jacq	Bruno Tirillini,Roberto Pellegrino,Alessandro Menghini & Barbara Tomaselli	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEMatit1999Hyp	Meum athamanticum	Italy	1997	VOL. 11,251-252 (Mar/Apr 1999)	Essential Oil Components in the Epigeous and Hypogeous Parts of Meum athamanticum Jacq	Bruno Tirillini,Roberto Pellegrino,Alessandro Menghini & Barbara Tomaselli	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JESsuir1999Aer	Semenovia suffruticosa	Iran	1996	VOL. 11,365-366 (May/Jun 1999)	The Essential Oil of Semenovia suffruticosa (Freyn et Bornm.) Manden	Abdolhossein Rustaiyan,Shiva Masoudi & Zahra Aghjani	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEAlacais1999Fru	Astydamia latifolia	Canari island	NA	VOL. 11,403-405 (July/Aug 1999)	Volatile Constituents from the Fruits of Astydamia latifolia (L. fil.) Baillon Grown in the Canary Islands	María José Pérez-Alonso,Arturo Velasco-Negueruela,Jesús Palá-Paúl,Pablo Ramos-Vázquez,Pedro Luís Pérez de Paz & María Concepción García Vallejo	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEModfi1999Lea	Myrrhis odorata	Finland	1996	VOL. 11,423-425 (Juy/Aug1999)	Essential Leaf Oil Composition of Myrrhis odorata (L.) Scop. Grown in Finland	Jouko S. Uusitalo,Jorma E. Jalonen,Abbas Aflatuni & Sirkka L. Luoma	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPantu1999Fru	Pimpinella anisetum	Turkey	1997	VOL. 11,445-446 (July/Aug 1999)	Essential Oil of Pimpinella anisetum Boiss. et Bal.	K. H.C. Baser,T. Özek,N. Tabanca & H. Duman	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEPantu1999Her	Pimpinella anisetum	Turkey	1998	VOL. 11,445-446 (July/Aug 1999)	Essential Oil of Pimpinella anisetum Boiss. et Bal.	K. H.C. Baser,T. Özek,N. Tabanca & H. Duman	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEBrisp1999Aer	Bupleurum rigidum	Spain	1996	VOL. 11,456-458 (July/Aug 1999)	Volatile Constituents Isolated from the Essential Oil of Bupleurum rigidum ssp. paniculatum (Brot.) H.Wolff.	Jesús Palá-Paúl,María José Pérez-Alonso & Arturo Velasco-Negueruela	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
	JEFcoir1999Flo	Ferulago contracta	Iran	1996	VOL. 11,609-610 (Sep/Oct 1999)	Chemical Constituents of the Essential Oil of Ferulago contracta Boiss. et Hausskn.,a Species Endemic to Iran	Abdolhossein Rustaiyan,Mohammad Yari,Shiva Masoudi	Journal of Essential Oil Research	Apiaceae/Umbelliferae	Plant
